rollNo,studentName,math,physics,chemistry,grade
524613,Donald Contreras,76,84,54,B+
561635,Joseph Horton,91,75,78,A
560985,Savannah Burns MD,64,98,20,C
535126,William Carter,15,95,32,D
559410,John Rodriguez,86,86,66,B+
564296,Natalie Nash,18,41,11,F
580403,Ronald Ellison,86,50,38,C
580380,Robert Perez,14,55,19,F
523556,Marilyn Curry,100,38,14,D
527497,Katherine Lambert,29,51,50,D
582730,Timothy Torres,19,25,25,F
527744,Rachel Price,30,45,60,D
549732,Elaine Wright,30,31,53,D
546564,Shannon Anderson,31,89,96,B+
554410,Jordan Watkins,55,33,79,C
596761,Angela Newman,84,62,72,B+
566223,Mike Parsons,72,58,64,B
541171,Edward Holt,57,31,16,D
546803,Brandi Lewis,52,18,100,C
543048,Jasmine English,68,38,55,C
574175,Christopher Gross,40,55,75,C
532130,Matthew Garcia,69,18,48,D
574914,Andrea Edwards,30,38,100,C
553405,Brittany Howard,76,13,32,D
581182,Joseph Morgan,77,56,39,C
574222,Christine Taylor,29,86,90,B
557489,Justin Thompson,16,28,98,D
528473,Megan Tate,19,75,20,D
513448,Robert Palmer,63,35,58,C
533597,Nicholas Figueroa DVM,21,23,76,D
573014,Jerry Leon,96,85,99,A+
566411,Patrick Avery,39,96,55,B
593020,Anthony Brooks,47,15,61,D
526254,Thomas Dunlap,70,55,46,C
551701,Brittany Miller,27,20,65,D
504953,Phillip Ray,39,91,60,B
596580,Thomas Moody,86,68,56,B
578275,Karen Bryant,18,13,29,F
508683,Jaime Huber,81,74,30,B
530635,Teresa Larsen,73,18,37,D
512471,Paul Cordova,41,55,67,C
523601,James Hill,19,82,89,B
531733,Zachary Garcia,56,74,93,B+
575293,Ashley Chen,92,42,38,C
574866,Karen Wolfe,20,40,78,D
569547,Kimberly Fitzgerald,93,33,37,C
520235,Rebecca Blair,69,58,28,C
541405,John Olsen,75,16,47,D
547468,Mark Miller,17,93,63,C
597470,Alyssa Douglas,74,100,52,B+
530762,Jeffrey Vargas,63,38,45,D
592817,Kerry Thomas,38,47,98,B
560249,Patricia Wall,65,13,12,F
503781,James Johnson,15,87,64,C
585923,Michael Black,47,38,32,D
596213,Spencer Stout,26,61,66,C
535329,Dr. Erica Ford,28,52,45,D
550501,Adam Perez,56,59,58,C
584700,Kevin Pacheco,76,83,86,A
503275,Tina Mullins,73,87,59,B+
513181,Brenda Zuniga,38,16,97,D
527426,Keith Parker,20,37,56,D
541060,Michele Lopez,88,95,58,B+
537295,Miss Alicia Goodwin,17,14,34,F
527718,Dr. Paul Morris,22,79,58,C
574782,Courtney Carlson,80,77,26,B
561165,David Perez,63,33,48,D
536828,Anthony Russell,34,91,14,D
550723,Rebecca Sheppard,55,27,22,D
573006,Tammy Macias,100,27,87,B+
551660,Monica Miranda,38,37,22,F
532820,Anthony Chavez,12,82,79,C
562473,John Garcia,95,47,54,B
530841,Alexis Jones,52,92,44,B
517591,Mary Barron,46,49,95,B
506427,Mr. John Clark,29,51,92,C
589024,Michael Ferguson,79,12,68,C
523822,Lauren Schultz,76,45,60,C
557713,Kristina Frey,75,84,55,B+
553422,Lori Ross,36,61,36,D
542423,Erin Giles,34,13,52,D
577131,Kelly Campbell,65,62,61,B
516723,Ryan Reed,63,75,56,B
523946,Brian Booth,80,61,95,B+
541904,Derrick Hancock,23,26,24,F
542613,Shannon Moreno,40,22,88,D
523899,Jodi Saunders,58,87,37,C
520399,Elizabeth Cochran,21,49,93,C
510501,Dennis Zavala,84,31,82,B
553709,Mary Hall,11,58,82,D
513998,Carol Thompson,55,41,40,D
555881,Caitlin Coleman,36,27,73,D
526942,David Gray,48,54,29,D
554087,David Hernandez,95,12,44,D
590841,Sandra Macdonald,54,35,16,D
599023,Laurie Mercer,32,34,87,C
576132,Kimberly Davis,53,85,51,B
536841,Cameron Cardenas,80,99,30,B
512411,Christina Edwards,89,43,59,B
516142,Sharon Young,78,22,49,D
587439,Phillip Moyer,34,30,76,D
566129,Andrew Arias,75,22,55,D
511482,Jonathan Wilson,75,21,29,D
505068,Jaime Robinson,13,11,34,F
538092,Shannon Hunter,28,37,71,D
539597,Amy Pena,61,13,78,D
565140,Thomas Morris,49,87,58,B
549307,Erica Young,39,74,50,C
524919,William Hernandez,78,92,23,B
516944,Todd Snow,38,70,34,D
566723,Morgan Allen,85,96,87,A
547674,Samuel Gomez,33,42,93,C
583269,Logan Pugh,19,79,50,D
520494,Laura Stewart,91,67,28,B
580321,Paul Sullivan,93,57,55,B
554885,Shelly Carlson,83,44,88,B+
570580,Charles Bernard,71,33,30,D
549572,Timothy Dixon,59,22,60,D
591571,Jason Ramos,73,34,61,C
568240,Derrick Mitchell,99,26,91,B+
506758,Alicia Bush,84,65,80,B+
551829,Christine Robinson,14,50,94,C
572217,Daniel Reilly,87,92,85,A
571283,Jennifer Whitaker,41,67,17,D
502221,Charles James,61,72,17,D
514040,Zachary Ramirez,75,76,91,B+
542733,Deanna Ware,43,13,41,F
527780,Colton Wise,49,78,46,C
562543,Ariel Castro,70,78,13,C
521205,Kristin Jones,16,32,63,D
590160,Lisa Carpenter,73,84,25,C
535844,Emily Mullen,49,76,77,B
526589,Nathan Robinson,82,41,44,C
522499,Brandon Berry,69,44,95,B
507740,Stephen Mitchell,25,79,51,C
580910,Gina Cochran,46,11,34,F
503562,Mr. Daniel Smith,14,47,14,F
543788,Jamie Barron,23,58,95,C
555918,Jacob Jones,64,12,72,D
536852,Jason Nichols,51,60,79,B
523484,Daniel Randolph,50,90,86,B+
564538,Vincent Taylor,89,19,28,D
540112,Mr. Jonathon Ross,80,48,50,C
502291,Timothy Duran,93,89,97,A+
517754,Mary Jordan,40,73,71,B
540733,Jonathan Shields,79,60,86,B+
523332,Richard Forbes,73,65,54,B
575329,Katherine Brown,74,49,79,B
535081,Timothy Riley,92,44,31,C
570727,James Floyd,88,17,93,B
502107,Donna Hayes,17,87,56,C
571786,Meghan Gonzalez,23,91,80,B
523210,Julia Harper,65,72,21,C
526360,Andrew Oconnor,96,58,95,A
565119,Molly Palmer,74,71,21,C
571145,Diana Luna,19,69,83,C
530853,Mr. Andrew Mcmahon,47,41,24,D
581832,Amy Edwards,48,59,17,D
579357,Joshua Zhang,54,77,54,B
571770,Eric Wood,90,98,81,A
564170,Hunter Cunningham,80,20,33,D
524087,Lindsay Hunt,40,25,93,C
594932,Trevor Tate,91,64,82,B+
560076,Rebekah Guerrero,63,95,100,A
540124,Michelle Payne,88,38,66,B
538050,Jesse Rubio,92,35,72,B
570721,Angela Flores,59,49,22,D
568612,Troy Anderson DDS,64,30,53,D
504903,Sabrina Henderson,49,92,73,B+
521393,Jason Monroe,57,48,21,D
567553,Dylan James,42,10,32,F
535609,Valerie Tucker,69,51,93,B+
583822,Jennifer Mendoza,85,10,41,D
578943,Megan Casey,84,73,37,B
559732,Thomas Morse,20,47,46,D
548365,Eric Rogers,12,67,21,D
542647,Lisa Schmidt,69,35,89,B
525501,Katherine Morton,10,94,74,C
502677,Heather Fitzpatrick,53,41,74,C
535289,William Walters,82,31,73,B
524448,Annette Smith,89,51,50,B
591056,Justin Curtis,23,51,10,F
563931,Caitlin Wood,85,63,18,C
544803,Kristin Davis,78,84,86,A
517819,Joseph Williams,38,75,54,C
590570,Nicole Lewis,17,14,10,F
579565,Alex Gordon,93,66,36,B
515464,Molly Rice,54,73,47,C
519947,Colleen Johnson,41,48,98,B
576821,Thomas Carr,62,32,83,C
524470,Brian Craig,63,84,25,C
514680,Lori Harris,48,19,36,D
572755,Carla Stark,88,65,30,B
574845,Michelle Patterson,90,38,20,D
587743,Sandra Stevens,52,74,15,D
585847,Jerome Martin MD,60,73,96,B+
518739,Jasmine Rodgers,18,98,26,D
503252,Lori Bailey,55,35,18,D
522815,John Green,23,27,54,D
572960,Timothy Johnson,29,98,52,C
556727,Karen Flowers,92,21,32,D
599818,Denise Lewis,47,23,33,D
537753,Alexandra Patterson,69,26,73,C
586398,Chris White,87,21,18,D
520352,Frank Barajas,91,72,61,B+
538713,Christian Shaw,98,94,55,A
561056,Richard Shields,82,60,10,D
585463,Robert Allen,80,78,75,B+
599442,Kendra Miller,22,28,80,D
581077,Allison Mcdonald,88,53,45,B
531833,Christian Rodriguez,97,24,25,D
541245,Dr. Kristen Mcintosh MD,48,91,11,D
539904,Molly Savage,15,45,53,D
595683,Dean Mejia,20,52,68,D
557039,Donald Anderson,85,21,60,C
559665,Scott Mann,17,59,93,C
547340,Larry Anderson,20,100,100,B+
529774,Donna Jackson,24,54,44,D
517136,Rebecca Schwartz,59,49,48,C
535366,Derek Lindsey,56,60,89,B
533577,Kaitlin Dorsey,14,99,24,D
518740,Nicholas Davis,25,59,57,D
577638,Lucas Torres,26,84,16,D
569076,Christopher Bell,53,23,62,D
581847,Elizabeth Fernandez,45,86,28,C
556431,Tracy Miller,19,85,69,C
590967,Scott Joseph,64,43,33,D
518031,Gregory Huber,41,93,61,B
533088,Mark Graham,91,54,91,B+
532082,Michael Hughes,91,68,18,C
564115,Daniel Hicks,59,63,52,C
596854,Leslie Gray,48,23,47,D
515008,Edgar Scott,10,93,22,D
566718,Jordan Roberts,15,24,27,F
514316,Arthur Dixon,92,56,82,B+
514571,Carrie Smith,35,10,53,F
554540,Ashley Alvarado,58,43,96,B
583787,Lisa House,55,87,21,C
583976,Jill Johnson,49,88,64,B
542460,Mark Gutierrez Jr.,80,21,49,D
507427,Marcus Smith,92,70,68,B+
590807,David Mitchell,49,53,85,B
562404,Jeffrey Baker,52,51,46,D
523190,Lisa Jackson,15,65,40,D
566370,Albert Haynes,81,22,99,B
537461,Robert Edwards,70,61,32,C
593554,Edward Farrell,57,36,18,D
574312,Brian Smith,81,82,54,B+
511151,Tara Larson,88,21,75,B
511607,Frank Mcclure,36,64,46,D
526854,Whitney Williams,58,50,67,C
518426,Teresa Smith,45,10,35,F
574852,Adrian Smith,20,45,48,D
584725,Ellen Roberts,53,14,96,C
516612,Leslie Jones,25,60,100,B
526560,Christopher Garrett,82,22,38,D
526923,Michael Johnson,70,34,20,D
504612,Lisa Williams,77,82,91,A
519512,Kristin Howard,31,85,12,D
585282,Emily Morris,35,70,35,D
582206,Patricia Mclaughlin,71,18,55,D
564850,Aimee Buchanan,73,65,88,B+
506574,Christopher Little,91,81,26,B
555339,Kimberly Rush,34,82,49,C
596983,David Hansen,31,100,52,B
545294,Rachel Matthews,42,58,36,D
574553,Shelly Watson,78,89,35,B
580410,Andrew Gonzalez,21,17,59,F
574876,Christopher Smith,26,93,12,D
582663,Monica Sellers,90,81,67,B+
502299,Karen Ramirez,82,12,19,D
507776,Sarah Todd,18,100,79,B
579040,Christopher Jones,90,31,59,C
535399,Amber Johnson,66,36,36,D
562587,Stacey Jordan,53,74,33,C
548820,Erin Williams,22,13,68,D
555712,Deborah Harvey,65,76,28,C
594309,Jasmine Carson,66,100,54,B+
537609,Jason Roach,62,28,74,C
544705,Sarah Day,45,85,42,C
597462,Gregory Harrison,77,93,53,B+
538813,Michelle Guzman,11,33,64,D
510673,Ronnie Ware,81,52,98,B+
522974,Steven Bonilla,61,73,28,C
508374,Lori Day,74,90,49,B+
549691,Diane Evans,61,69,25,C
539179,Emily Brown,24,39,34,F
598059,Stephanie Wright,13,24,37,F
566067,Matthew Knight,64,59,57,C
572018,Michael Paul,63,92,100,A
559132,Ashley Guerra,11,78,62,D
582485,Tyler Rhodes,87,83,97,A
598332,Sarah Russell,45,94,28,C
577360,Nicholas Smith,49,16,100,C
535686,Christina Benson,39,92,84,B+
560821,Eric Burns,86,59,68,B+
580409,Scott Obrien,11,23,40,F
573606,Amanda Davenport,79,25,51,C
503755,Cynthia Rodriguez,37,11,24,F
537883,James Stewart,80,48,82,B
544715,Craig Bauer,22,34,37,F
544538,Timothy Kelly,97,93,42,B+
563877,Jennifer Brown,49,98,13,C
589818,Angel Hawkins,40,94,54,B
567452,Yvette Bolton,58,57,30,D
531959,Nicole Lee,100,77,76,A
525149,Christopher Robinson,89,93,12,B
550264,Timothy Gordon,13,33,65,D
575374,Jeffery Lopez,58,85,40,B
599616,Phillip Henderson,71,98,64,B+
516746,Steven Anderson,99,42,65,B
501906,Elizabeth Haynes,68,70,90,B+
561820,Sharon Gomez,25,45,63,D
549787,Sean Davis,19,11,74,D
500379,Jeffrey Figueroa,33,71,39,D
582509,Wendy Adams,68,71,12,D
590758,Raymond Hatfield,64,94,10,C
597289,Elizabeth Doyle,21,89,12,D
552819,Crystal Peters,76,31,42,D
538159,Olivia Ruiz,97,79,81,A
528342,Francis Bell,66,62,70,B
562425,Jennifer Coleman,46,33,50,D
546016,John Lewis MD,15,69,37,D
511715,Elizabeth Mason,96,29,22,D
515027,Sharon Carrillo,100,65,25,B
562475,Jerry Mcbride,14,34,99,D
513383,Douglas Cook,99,99,72,A
580225,James Fletcher,18,74,87,C
519188,Kim Richardson,91,75,55,B+
575508,Daniel Owens,89,15,62,C
596484,Kenneth Brennan,52,18,66,D
542750,Alexis Harris,94,46,15,C
541943,Ellen Johnson,92,35,92,B+
560213,Grant Alvarez,93,14,88,B
506046,Ann Miller,70,30,80,C
588681,Cynthia Frost,56,99,84,B+
570690,Samuel Sanchez,59,35,58,D
523438,Edgar Gill,73,70,99,B+
555790,Sandra Boyd,72,71,26,C
576633,Robert Hill,29,68,23,D
522651,Jeffrey Hall,13,87,64,C
568665,Garrett Martin,91,88,82,A
598790,Stephen Roy,51,19,81,D
533159,Eric Bauer,67,51,83,B
531614,Carrie Miller,59,19,31,D
522525,Amanda Rodriguez,57,62,74,B
575186,Jeffrey Parker,45,64,32,D
584465,Margaret Allen,78,88,21,B
535921,Haley Carlson,16,43,57,D
524854,John Owen,93,23,76,B
518956,Andrew Welch,74,30,42,D
526351,Preston Elliott,38,96,47,C
542248,Amanda Mcfarland,57,56,10,D
598278,Charles Flores,34,68,91,B
579972,Michele Brown,11,94,22,D
546068,Kimberly Carpenter,10,56,72,D
503927,Chris Ward,92,50,62,B
588470,Carolyn Sanders,60,18,57,D
527161,Christy Shelton,29,81,66,C
548169,Sarah Combs,58,23,76,C
511593,Stephanie Barnett,46,55,95,B
571856,John Caldwell,30,33,36,D
584943,Allison Graham,28,71,86,B
518089,Denise Johnson,31,92,14,D
570816,Steven Brown,74,48,53,C
563118,Mark Harris,50,52,59,C
579127,Cheryl Gray,58,45,100,B
542241,Heidi Brown,37,61,25,D
548547,Jennifer Thompson,86,34,54,C
579117,Colleen Garza,60,100,37,B
574682,Gloria Lee,85,17,72,C
512699,Daniel Wade,15,14,42,F
541974,Francisco Villa,54,20,44,D
590083,Stephanie Baker,37,25,47,D
542786,John Jackson,62,58,68,B
573227,Steven Fields,81,10,75,C
516529,Shawn White,66,19,17,D
511999,Danielle Murphy,73,92,46,B
530303,Robert Oliver,94,67,18,C
555115,Christina Cook,48,66,10,D
592941,Kim Bennett,69,94,72,B+
537772,Emily Scott,77,14,87,C
596018,Nicole Maldonado,48,53,56,C
567205,Michael Simpson,53,63,26,D
532257,Jordan Arroyo,26,77,83,B
543696,Kevin Taylor,68,25,60,C
503405,John Hayes,30,68,37,D
512579,Casey Knight,12,85,82,C
590046,Thomas Doyle,80,19,55,C
555035,Jessica Garcia,32,47,55,D
536859,Michael Gomez,61,50,20,D
588946,Tiffany Yang,48,74,31,C
546536,Gary Moore,17,78,82,C
567726,Keith Griffin,90,10,79,C
551091,Corey Bruce,36,39,93,C
509611,Jeremy Adams,26,11,80,D
576971,David Williams,68,11,95,C
565746,Melvin Williams,66,15,17,F
574185,Jesse Spencer,19,20,70,D
586792,Ashley Little,21,21,17,F
539805,Victoria Bryant,18,95,100,B+
551543,Amber Rodgers,17,82,71,C
572612,Meagan Mcdaniel,87,62,64,B+
589410,Elizabeth Williams,16,17,80,D
545578,Chad Castillo,84,17,26,D
529160,Chad Washington,77,95,96,A
583370,Jessica Webb,45,85,36,C
550810,Cathy Brooks,65,30,47,D
509013,Eric Armstrong,62,17,99,C
584581,John Bradford,89,96,85,A
575991,Christopher Brown,82,83,41,B
537931,Adrian Taylor,66,61,45,C
584085,Joshua Schwartz,41,43,86,C
549951,Troy Thompson,16,88,63,C
595367,Sean Bond,12,98,55,C
510075,Matthew Gardner,38,34,75,D
555891,Karen Hudson,64,82,49,B
590909,Catherine Young,19,72,33,D
589565,Brandon Allen,45,94,62,B
546817,Mackenzie Perkins,34,52,18,D
587052,Richard Hall,47,64,13,D
520518,Michael Blackburn,87,29,21,D
573952,Lisa Ruiz,24,42,55,D
501619,Katherine Rodgers,80,70,84,B+
509528,Robert Taylor,29,64,37,D
518434,Beth Harris,45,52,91,B
518660,James Burke,12,15,58,F
570871,Kurt Glover,84,97,78,A
576041,Kenneth Mitchell,18,96,30,D
503310,Anna Morris,50,86,90,B+
526105,Shelby Valdez,78,59,93,B+
532434,Michelle Henderson,51,17,97,C
542351,Alyssa Houston,33,67,75,C
579182,Faith Rose,52,74,20,D
561404,Karen Scott,38,52,51,D
584526,Kyle Brown,95,77,35,B
507151,Jonathan Anthony,92,73,13,C
563598,Steven Jackson,85,66,55,B
594239,Samantha Medina,63,54,68,B
503741,Crystal Duncan,69,16,54,D
579240,Michael Gilmore,20,83,84,B
589235,Andrew Jackson,20,82,90,B
597860,Jesus Hunt,50,90,81,B+
592317,Natasha Sharp,41,63,52,C
514959,Sandra Moreno,22,87,48,C
538480,Connor Cortez,70,20,52,D
527986,Damon Smith,96,56,32,B
507806,Todd Coleman,73,52,57,C
528796,Mary Foster,18,91,32,D
536723,Scott Bennett,95,17,64,C
536190,Elizabeth Collins,59,23,32,D
547657,Tyler Thomas,22,98,81,B
545967,Rebecca Hernandez,23,94,21,D
567689,Jaime Zimmerman,92,54,55,B
598797,Christopher Johns,57,53,74,B
